Channel Name	mp_channel
Visa/Mastercard	credit
Alipay	alipay
7-Eleven	cash
FPX	fpx
Maybank2u	maybank2u
CIMB Clicks	cimb
RHB Now	rhb
PBe	publicbank
Hong Leong Connect	hlb
Bank Islam	bankislam
AmOnline	amb
Alliance online	FPX_ABMB
affinOnline	abb
i-Muamalat	muamalat
i-Rakyat	FPX_BKRM
myBSN	FPX_BSN
OCBC Online	ocbc
UOB Online	FPX_UOB
HSBC Online	FPX_HSBC
Standard Chartered Online	scb
KFH Online	kuwait-finance
Petronas	epay
Point BCard	pointbcard
Senheng Cash Retail	senheng
Esapay Cash Retail	esapay
Webcash	webcash
Union Pay	paymentasia
Affin Online	affin-epg
Fuiou	fuiou
Tenpay	tenpay
Visa / Mastercard	credit
MOLWallet	MOLWallet
Unionpay	Unionpay
CDC EP Center	Cash-CDCEP
MOLPoints	MOLPoints
Maybank Cash Deposit Machine	Cash-MBBCDM
Maybank ATM	Cash-MBBATM
Online Banking 	onlinebanking
Gift Card	giftcard
Credit Card	credit3
jompay	jompay
Credit Card - Cretaps	credit
BitX	BitX
Touch n Go - E-Wallet	TNG-EWALLET
Cash-Deposit	Cash-Deposit
FPX B2B Model	FPX_B2B
FPX B2B AmBank	FPX_B2B_AMB
FPX B2B HLB	FPX_B2B_HLB
FPX B2B UOB	FPX_B2B_UOB
FPX B2B Affin Bank	FPX_B2B_ABB
FPX B2B HSBC	FPX_B2B_HSBC
FPX Maybank2e	FPX_M2E
FPX B2B CIMB	FPX_B2B_CIMB
FPX B2B BIMB	FPX_B2B_BIMB
FPX B2B RHB	FPX_B2B_RHB
FPX B2B PBB	FPX_B2B_PBB
CIMB Virtual Account	CIMB-VA
CIMB eBPG	CIMB-eBPG
AMBANK eBPG	AMBANK-eBPG
Boost	BOOST
FPX_B2B_KFH	FPX_B2B_KFH
FPX_B2B_DEUTSCHE	FPX_B2B_DEUTSCHE
FPX_B2B_ABMB	FPX_B2B_ABMB
FPX_B2B_SCB	FPX_B2B_SCB
FPX_B2B_OCBC	FPX_B2B_OCBC
FPX_B2B_BMMB	FPX_B2B_BMMB
SafeCharge	SafeCharge
FPX_EMANDATE	FPX_EMANDATE
FPX_DIRECTDEBIT	FPX_DIRECTDEBIT
VCASH-EWALLET	VCASH_EW
Visa / Mastercard / Amex	credit
